NumCF	Lat	Lon	ColID
CF4342	32.8855	-87.4450	CF
CF4343	32.8855	-87.4450	CF
CF4344	32.8855	-87.4450	CF
CF4345	32.8855	-87.4450	CF
CF4346	32.8855	-87.4450	CF
CF4347	32.8855	-87.4450	CF
CF4348	32.2884	-89.5325	CF
CF4349	32.2884	-89.5325	CF
CF4350	32.2884	-89.5325	CF
CF4351	32.2135	-89.4583	CF
CF4352	32.2253	-89.4600	CF
CF4353	32.2253	-89.4600	CF
CF4354	32.2120	-89.3673	CF
CF4355	32.2120	-89.3673	CF
CF4356	32.2120	-89.3673	CF
CF4357	32.2037	-89.2601	CF
CF4358	32.2037	-89.2601	CF
CF4359	31.4327	-90.9529	CF
CF4360	31.4327	-90.9529	CF
CF4361	31.4327	-90.9529	CF
CF4362	31.5599	-91.5563	CF
CF4363	31.5638	-91.5594	CF
CF4364	31.6269	-91.8436	CF
CF4365	31.1704	-92.5327	CF
CF4366	31.1704	-92.5327	CF
CF4367	31.1704	-92.5327	CF
CF4368	31.1704	-92.5327	CF
CF4369	31.1697	-92.5303	CF
CF4370	31.1697	-92.5303	CF
CF4371	31.1697	-92.5303	CF
CF4372	31.2222	-92.6122	CF
CF4373	31.2222	-92.6122	CF
CF4374	31.2343	-92.6087	CF
CF4375	31.2343	-92.6087	CF
CF4376	31.2406	-92.6792	CF
CF4377	31.2406	-92.6792	CF
CF4378	31.5489	-92.4037	CF
CF4379	31.6469	-92.4479	CF
CF4380	31.6469	-92.4479	CF
CF4381	31.6469	-92.4479	CF
CF4382	31.6469	-92.4479	CF
CF4383	31.6469	-92.4479	CF
CF4384	31.6469	-92.4479	CF
CF4385	31.7758	-92.6342	CF
CF4386	31.7758	-92.6342	CF
CF4387	31.7758	-92.6342	CF
CF4388	32.6855	-93.2973	CF
CF4389	32.6855	-93.2973	CF
CF4390	32.6855	-93.2973	CF
CF4391	32.6855	-93.2973	CF
CF4392	32.6517	-92.2499	CF
CF4393	32.6517	-92.2499	CF
CF4394	32.6517	-92.2499	CF
CF4395	32.6517	-92.2499	CF
CF4396	32.6169	-92.2806	CF
CF4397	32.3739	-92.2806	CF
CF4398	32.3739	-92.2806	CF
CF4399	32.5348	-89.8436	CF
CF4400	33.1265	-89.0526	CF
CF4402	33.2299	-88.9109	CF
CF4403	33.2296	-88.9097	CF
CF4404	33.2285	-88.9096	CF
CF4405	33.2247	-88.9109	CF
CF4406	33.4592	-88.8009	CF
CF4407	33.5594	-88.6955	CF
CF4408	33.5594	-88.6955	CF
211	27.1663159	-81.3719164	FBH
191	32.5946237	-85.4833938	FBH
207	32.5946237	-85.4833938	FBH
9	34.1334370	-87.2583461	FBH
10	34.1334370	-87.2583461	FBH
11	34.1334370	-87.2583461	FBH
22	34.1334370	-87.2583461	FBH
25	34.1334370	-87.2583461	FBH
32	34.1334370	-87.2583461	FBH
12	32.9349471	-87.3948069	FBH
18	32.9349471	-87.3948069	FBH
41	30.8139890	-85.2338720	FBH
42	30.8139890	-85.2338720	FBH
44	30.8139890	-85.2338720	FBH
70	30.5033918	-84.2170107	FBH
72	30.5033918	-84.2170107	FBH
83	33.2505243	-83.9490755	FBH
84	33.2505243	-83.9490755	FBH
85	33.2505243	-83.9490755	FBH
87	33.2505243	-83.9490755	FBH
89	31.9540629	-81.2978494	FBH
90	31.9540629	-81.2978494	FBH
91	32.0930776	-81.2161943	FBH
92	32.0930776	-81.2161943	FBH
95	32.0930776	-81.2161943	FBH
97	32.0930776	-81.2161943	FBH
101	32.769038	-80.452386	FBH
102	32.769038	-80.452386	FBH
103	32.769038	-80.452386	FBH
104	33.1113221	-79.5813030	FBH
109	33.1113221	-79.5813030	FBH
110	33.1113221	-79.5813030	FBH
113	33.1113221	-79.5813030	FBH
114	33.1113221	-79.5813030	FBH
118	34.5785573	-81.7038111	FBH
127	34.5785573	-81.7038111	FBH
131	34.5785573	-81.7038111	FBH
133	34.5785573	-81.7038111	FBH
135	34.5785573	-81.7038111	FBH
136	34.5785573	-81.7038111	FBH
142	35.1835831	-83.4920450	FBH
147	36.5095802	-82.4827230	FBH
150	36.5095802	-82.4827230	FBH
154	36.5095802	-82.4827230	FBH
155	36.5095802	-82.4827230	FBH
157	36.5095802	-82.4827230	FBH
172	32.587283	-85.489673	FBH
174	32.587283	-85.489673	FBH
175	32.587283	-85.489673	FBH
176	32.5946237	-85.4833938	FBH
208	32.9349471	-87.3948069	FBH
210	30.6913462	-88.0437509	FBH
12	44.7875943	-123.0777692	FBH
1p5	36.0450570	-96.9425302	FBH
rb9	32.3323349	-89.4209395	FBH
rb4	32.3323349	-89.4209395	FBH
rb0	32.3323349	-89.4209395	FBH
rbr	32.3323349	-89.4209395	FBH
rb7	32.3323349	-89.4209395	FBH
eup	32.6781081	-90.7956368	FBH
rbo	32.6781081	-90.7956368	FBH
rbm	32.6722848	-93.2880666	FBH
rbc	32.6722848	-93.2880666	FBH
of1	32.6722848	-93.2880666	FBH
ofo	30.802784	-92.291265	FBH
ofy	30.6831683	-92.2658213	FBH
wed	30.849037	-94.168121	FBH
wev	31.1297993	-95.0584741	FBH
we4	31.1880293	-95.9854700	FBH
